feature,importance,std
s4_mean10,4.044702347737542,1.9981616534541187
cycle,3.0637383340561337,0.9218321667407164
s15_mean10,1.6521030687105998,2.257103769212551
s14_mean10,1.2808681096764247,0.5388872505592214
s11_mean10,1.0302054396654667,0.5051237722187718
s2_mean10,0.9940446454726853,0.22251596484995834
s9_mean10,0.7986400218297334,0.6514798872408437
s8_mean10,0.6622146252961556,0.534771627389242
s21_mean10,0.5902697243016902,0.036102622120447105
s7_std10,0.5836896334996545,0.6857421952347188
s13_mean10,0.43233657956486765,0.41304134895837663
s12_std10,0.2829273647931977,0.23558348097563475
s14_std10,0.2816771971190697,0.19515341484037552
s17_mean10,0.1876991032800909,0.13053930003046987
s11_std10,0.12285650339112948,0.2549238578404543
s17_std10,0.07136883261813125,0.014493885589503201
s15_std10,0.06505218183660802,0.02414948557924448
s12,0.05832621153256525,0.019622568773002547
s2_std10,0.055036580894056185,0.05735187989482127
s3_mean10,0.04983843925234268,0.13191789330476442
s2,0.048793686096990994,0.018066472263347646
s13_std10,0.045573536042849125,0.1142343909184994
s12_delta5,0.04204187523180991,0.021695134883584887
s8_delta5,0.03556273054506178,0.004959633286862362
s6_std10,0.03383656171115064,0.011803614504139453
s21,0.03287340317599927,0.010118963518749984
s4,0.030391452082838555,0.018892396825980717
s3,0.028207027514574178,0.04524452653605162
s20_mean10,0.027848747851473378,0.0662563059151036
s8_std10,0.02262174523162628,0.12859135029723512
s4_std10,0.018414307615845615,0.05713971069643483
s9_delta5,0.01722453716128669,0.007917979731918231
s20_delta5,0.01695448615695696,0.0059816697848184336
s13,0.016164267289178726,0.005133433509721861
s21_std10,0.013183097791806375,0.09309626912044443
s6_mean10,0.013102710258347371,0.026974718867219773
s14_delta5,0.010572302269434175,0.009749491507333827
s7_delta5,0.006650929690952978,0.009208879584640261
s21_delta5,0.005938167262135608,0.00848393509562539
s17,0.002256025641026582,0.002215219765872151
s11,0.0018374030528299557,0.02491674152395086
s3_std10,0.0014460906458879208,0.08613631674766917
s17_delta5,0.0012366666666679294,0.002473333333332306
s6,0.0,0.0
s6_delta5,-7.105427357601002e-16,1.4210854715202006e-15
s13_delta5,-0.0027643849671086683,0.029057013573102693
s11_delta5,-0.004458748977836535,0.01204604825486055
s7,-0.006545065749354961,0.02922730304756474
s2_delta5,-0.009802647009011877,0.01662364947851792
s15_delta5,-0.01414953326248707,0.0027611106482974086
s15,-0.01694479611730628,0.024355045174282743
s4_delta5,-0.018000051448377262,0.006746517614917787
s20,-0.02100290449028961,0.01249646558408787
s3_delta5,-0.0224862651319242,0.00620127201656786
s8,-0.034146590908926557,0.009639772895910175
s14,-0.0499899933080485,0.016339145548452793
s12_mean10,-0.05388947183377013,0.0578413678364896
s7_mean10,-0.11631250663235093,0.22744319419259973
s9,-0.13616385698553585,0.09432626723195836
s20_std10,-0.30206420095014297,0.0853560740424041
s9_std10,-0.4055197502538704,0.11799607243377694
