engine_id,cycle,s2,s3,s4,s6,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21
SYN-ENG-001,28,642.3442118,1582.916241,1399.137052,21.61,554.6872459,2388.121282,9049.601373,47.40799797,522.5760632,2388.078798,8127.324531,8.431967803,390.010599,39.01046282,23.28463545
SYN-ENG-001,29,641.9091923,1584.776349,1400.815453,21.61,554.260154,2388.049988,9050.32955,47.23904481,522.4037551,2388.058595,8132.906832,8.418930376,393.0221563,38.9325087,23.35828654
SYN-ENG-001,30,642.2052005,1593.473563,1396.245301,21.61,554.3556408,2388.068776,9045.367291,47.40210451,522.1786708,2387.999175,8137.758874,8.406536508,389.9718099,39.047493,23.4119319
SYN-ENG-001,31,642.0283301,1584.173061,1396.897203,21.61,554.1413914,2388.079717,9058.523846,47.41217185,521.9638556,2388.059593,8125.309575,8.409652542,391.9887576,38.94221575,23.3367915
SYN-ENG-001,32,642.3326604,1591.327453,1400.490243,21.61,554.9752786,2388.040796,9050.926646,47.24945689,521.9236431,2388.070292,8129.576353,8.41479337,391.9819707,39.01754246,23.50139252
SYN-ENG-001,33,642.711911,1588.400312,1402.413961,21.61,554.6190079,2388.041107,9047.03372,47.2819141,521.9193858,2388.078819,8134.614197,8.375707166,391.9935072,38.83169792,23.35002592
SYN-ENG-001,34,642.5433093,1581.455257,1400.598467,21.61,554.3080226,2388.030556,9046.339974,47.47439564,521.7040835,2388.089778,8126.615018,8.434513866,391.9806578,38.80725831,23.31118827
SYN-ENG-001,35,642.4366983,1589.985923,1403.086374,21.61,554.2974792,2388.041153,9045.820786,47.30945512,521.7544267,2388.009365,8140.25596,8.442335859,390.9724838,39.12710832,23.41502023
SYN-ENG-001,36,642.5347777,1581.838127,1405.574063,21.61,554.5458745,2388.010169,9044.588653,47.25017546,522.3081105,2388.039138,8132.607494,8.424685319,391.9901727,38.85908861,23.43253222
SYN-ENG-001,37,641.9858949,1578.995833,1398.750441,21.61,554.6300074,2388.069693,9055.419999,47.29058012,522.28103,2388.039359,8131.967988,8.414139623,392.0059748,38.99183952,23.43682506
SYN-ENG-001,38,641.9346807,1589.558605,1399.662086,21.61,554.7029313,2388.079259,9055.517613,47.26606896,522.4186422,2388.08055,8136.809377,8.41554844,391.9817988,39.06120133,23.47825529
SYN-ENG-001,39,642.0095591,1583.102347,1400.664977,21.61,553.9592955,2388.021253,9051.710279,47.12357336,522.2381647,2388.051397,8131.79107,8.413639486,391.9751357,38.70322052,23.3707276
SYN-ENG-001,40,642.2495755,1581.972671,1401.679519,21.61,554.5764966,2388.060396,9053.09297,47.33054895,521.8361438,2388.009596,8131.219866,8.377981534,392.0177724,38.83926479,23.37488011
SYN-ENG-001,41,642.4037751,1591.350201,1403.056999,21.61,553.7310756,2388.05897,9049.114115,47.08975462,522.0819995,2388.030367,8138.161374,8.436344676,391.9723421,39.13096206,23.44448894
SYN-ENG-001,42,642.1229734,1584.747482,1401.332865,21.61,553.9573744,2388.080049,9057.269402,47.49176972,522.2380556,2388.049703,8130.807093,8.414097975,391.9819482,39.0008396,23.37539889
SYN-ENG-001,43,642.2416262,1591.619712,1405.928505,21.61,553.69034,2388.0292,9057.766684,47.32147881,522.7308541,2388.09093,8127.167084,8.406244159,391.9907429,38.99298292,23.31637021
SYN-ENG-001,44,641.9303827,1586.852594,1401.0698,21.61,554.1603001,2388.040634,9046.66125,47.4512244,522.2968239,2387.999137,8131.325497,8.420346423,392.0067296,39.05817541,23.47515129
SYN-ENG-001,45,642.5351143,1582.401444,1399.039414,21.61,553.8442042,2388.079521,9060.211689,47.45150774,521.7330176,2388.05106,8128.366289,8.409598378,392.9983226,38.78779978,23.39403206
SYN-ENG-001,46,642.4323052,1588.284398,1401.372725,21.61,553.7589079,2388.059164,9060.635062,47.19940137,522.0166676,2388.079842,8128.663863,8.397188033,393.0065561,38.93000539,23.3745702
SYN-ENG-001,47,642.2107279,1580.30861,1402.878009,21.61,554.391107,2388.058946,9051.856393,47.21747202,521.8413543,2388.050097,8126.369536,8.397450935,392.0170535,38.99129348,23.4873824
SYN-ENG-001,48,641.8930106,1588.62739,1399.338008,21.61,554.0065764,2388.079326,9045.390332,47.40464279,521.9020665,2388.06036,8129.903168,8.437861459,391.9840709,38.93907811,23.36521421
SYN-ENG-001,49,642.2350137,1584.400595,1397.767651,21.61,554.2431011,2388.069998,9050.849444,47.21843538,521.3638086,2388.03897,8135.687666,8.415402569,392.0040581,39.0624552,23.44802009
SYN-ENG-001,50,642.7795318,1588.563047,1403.777226,21.61,553.922657,2388.058773,9048.6921,47.46742198,522.3340262,2388.089096,8127.114491,8.411495057,392.0081751,38.85316702,23.41195317
SYN-ENG-001,51,642.8162181,1585.526176,1400.305339,21.61,553.7225788,2388.019014,9047.309339,47.11831517,521.9225076,2388.050051,8134.420932,8.449873364,392.9766545,38.93995501,23.3664116
SYN-ENG-001,52,642.7681262,1583.731882,1395.495878,21.61,553.02681,2388.038668,9056.119713,47.06513619,522.1097064,2388.068712,8132.861338,8.453239621,391.0100903,38.99681818,23.34042368
SYN-ENG-001,53,642.6118301,1579.931398,1402.375471,21.61,554.1686075,2388.050146,9051.107782,47.29349049,521.9572415,2388.061086,8134.543103,8.442111274,391.9881905,38.90295566,23.37871448
SYN-ENG-001,54,642.4136165,1592.587431,1401.344201,21.61,553.9444984,2388.040072,9056.033338,47.38524498,522.435337,2388.060367,8130.124391,8.418762255,391.9749109,38.96256097,23.23469346
SYN-ENG-001,55,642.4104192,1584.941664,1401.49331,21.61,554.4515635,2388.040436,9048.996538,47.40406006,522.1030189,2388.020396,8133.975505,8.407169297,391.9933425,39.06045908,23.35875021
SYN-ENG-001,56,642.4871596,1586.328042,1400.792164,21.61,553.9650179,2388.011135,9042.390028,47.25735752,522.4713266,2388.03882,8135.533375,8.402587403,390.978864,38.67856855,23.34009162
SYN-ENG-001,57,642.1345148,1583.665585,1402.804831,21.61,553.432195,2388.051286,9050.574248,47.29261718,521.6254446,2388.079675,8135.256836,8.426931435,391.9747839,38.84184435,23.35481119
