aircraft,system,cycle,value,source
DEMO-001,apu,1,27.351,synthetic-v1
DEMO-001,apu,2,27.505,synthetic-v1
DEMO-001,apu,3,27.549,synthetic-v1
DEMO-001,apu,4,27.555,synthetic-v1
DEMO-001,apu,5,27.614,synthetic-v1
DEMO-001,apu,6,27.79,synthetic-v1
DEMO-001,apu,7,28.093,synthetic-v1
DEMO-001,apu,8,28.469,synthetic-v1
DEMO-001,apu,9,28.83,synthetic-v1
DEMO-001,apu,10,29.095,synthetic-v1
DEMO-001,apu,11,29.23,synthetic-v1
DEMO-001,apu,12,29.262,synthetic-v1
DEMO-001,apu,13,29.271,synthetic-v1
DEMO-001,apu,14,29.344,synthetic-v1
DEMO-001,apu,15,29.541,synthetic-v1
DEMO-001,apu,16,29.859,synthetic-v1
DEMO-001,apu,17,30.239,synthetic-v1
DEMO-001,apu,18,30.59,synthetic-v1
DEMO-001,apu,19,30.836,synthetic-v1
DEMO-001,apu,20,30.952,synthetic-v1
DEMO-001,apu,21,30.975,synthetic-v1
DEMO-001,apu,22,30.988,synthetic-v1
DEMO-001,apu,23,31.078,synthetic-v1
DEMO-001,apu,24,31.294,synthetic-v1
DEMO-001,apu,25,31.627,synthetic-v1
DEMO-001,apu,26,32.008,synthetic-v1
DEMO-001,apu,27,32.347,synthetic-v1
DEMO-001,apu,28,32.574,synthetic-v1
DEMO-001,apu,29,32.672,synthetic-v1
DEMO-001,apu,30,32.688,synthetic-v1
DEMO-001,apu,31,32.707,synthetic-v1
DEMO-001,apu,32,32.814,synthetic-v1
DEMO-001,apu,33,33.05,synthetic-v1
DEMO-001,apu,34,33.395,synthetic-v1
DEMO-001,apu,35,33.776,synthetic-v1
DEMO-001,apu,36,34.102,synthetic-v1
DEMO-001,apu,37,34.309,synthetic-v1
DEMO-001,apu,38,34.39,synthetic-v1
DEMO-001,apu,39,34.401,synthetic-v1
DEMO-001,apu,40,34.428,synthetic-v1
DEMO-001,apu,41,34.554,synthetic-v1
DEMO-001,apu,42,34.809,synthetic-v1
DEMO-001,apu,43,35.165,synthetic-v1
DEMO-001,apu,44,35.543,synthetic-v1
DEMO-001,apu,45,35.854,synthetic-v1
DEMO-001,apu,46,36.041,synthetic-v1
DEMO-001,apu,47,36.107,synthetic-v1
DEMO-001,apu,48,36.114,synthetic-v1
DEMO-001,apu,49,36.152,synthetic-v1
DEMO-001,apu,50,36.296,synthetic-v1
DEMO-001,apu,51,36.57,synthetic-v1
DEMO-001,apu,52,36.935,synthetic-v1
DEMO-001,apu,53,37.308,synthetic-v1
DEMO-001,apu,54,37.603,synthetic-v1
DEMO-001,apu,55,37.77,synthetic-v1
DEMO-001,apu,56,37.822,synthetic-v1
DEMO-001,apu,57,37.828,synthetic-v1
DEMO-001,apu,58,37.878,synthetic-v1
DEMO-001,apu,59,38.042,synthetic-v1
DEMO-001,apu,60,38.333,synthetic-v1
DEMO-001,brakes,1,0.476,synthetic-v1
DEMO-001,brakes,2,0.562,synthetic-v1
DEMO-001,brakes,3,0.621,synthetic-v1
DEMO-001,brakes,4,0.687,synthetic-v1
DEMO-001,brakes,5,0.792,synthetic-v1
DEMO-001,brakes,6,0.949,synthetic-v1
DEMO-001,brakes,7,1.147,synthetic-v1
DEMO-001,brakes,8,1.352,synthetic-v1
DEMO-001,brakes,9,1.531,synthetic-v1
DEMO-001,brakes,10,1.66,synthetic-v1
DEMO-001,brakes,11,1.74,synthetic-v1
DEMO-001,brakes,12,1.798,synthetic-v1
DEMO-001,brakes,13,1.868,synthetic-v1
DEMO-001,brakes,14,1.98,synthetic-v1
DEMO-001,brakes,15,2.145,synthetic-v1
DEMO-001,brakes,16,2.346,synthetic-v1
DEMO-001,brakes,17,2.55,synthetic-v1
DEMO-001,brakes,18,2.722,synthetic-v1
DEMO-001,brakes,19,2.843,synthetic-v1
DEMO-001,brakes,20,2.918,synthetic-v1
DEMO-001,brakes,21,2.975,synthetic-v1
DEMO-001,brakes,22,3.05,synthetic-v1
DEMO-001,brakes,23,3.17,synthetic-v1
DEMO-001,brakes,24,3.342,synthetic-v1
DEMO-001,brakes,25,3.545,synthetic-v1
DEMO-001,brakes,26,3.746,synthetic-v1
DEMO-001,brakes,27,3.911,synthetic-v1
DEMO-001,brakes,28,4.025,synthetic-v1
DEMO-001,brakes,29,4.095,synthetic-v1
DEMO-001,brakes,30,4.152,synthetic-v1
DEMO-001,brakes,31,4.233,synthetic-v1
DEMO-001,brakes,32,4.361,synthetic-v1
DEMO-001,brakes,33,4.539,synthetic-v1
